"序号","产品
编码","条码","中文品名","图片","规格型号","产地","单位","一盒
数量","单泡价格
/RP","单价
/RMB","一盒单价/RP","备注","批量拿货价","成本价","","","","","","","","","","",""
"1 ","C1011","6976627610080 ","熟香铁观音","","250g","福建安溪","盒","30 ","99,000","850¥","1,699,000","叶底肥厚，  耐泡度强安溪熟香铁观音，  是一款独具特色的茶
叶。  经过时间的转化，  其香气馥郁，  让人沉醉。  在口感上，
这款茶叶醇厚而回甘，  每一口都能感受到其独特的韵味。  在
冲泡时，  茶叶能够耐泡度强，  每一泡都能够呈现出不同的口
                                     感与香气。","Rp637,125","Rp849,500","","","","","","","","","","",""
"2 ","C1012","6976627610141 ","熟香铁观音","","500g","福建安溪","盒","60 ","39,000","700¥","1,399,000","安溪熟香铁观音的叶底肥厚，  经过长时间的陈化与烘烤，  茶
叶中的物质被充分保留。  在冲泡时，  茶叶能够耐泡度强，  每
一泡都能够呈现出不同的口感与香气。  无论是品饮还是收
                            藏，  都是不错的选择。","Rp524,625","Rp699,500","","","","","","","","","","",""
"3 ","C1021","6976627610189 ","清香铁观音","","250g","福建安溪","盒","30 ","99,000","850¥","1,699,000","香气高扬持久，  有兰花香、  栀子花香，  让人陶醉其中。   口感
鲜醇高爽，  观音韵明显，  回甘强，  耐泡，  能够经受多次冲泡
而不失其风味。","Rp637,125","Rp849,500","","","","","","","","","","",""
"4 ","C1022","6976627610158 ","清香铁观音","","500g","福建安溪","盒","60 ","39,000","700¥","1,399,000","   口感比较清淡、  舌尖略带微甜，  颜色翠绿，  汤水清澈，  香
   气馥郁，  花香明显，   口味醇正。","Rp524,625","Rp699,500","","","","","","","","","","",""
"5 ","C1031","6976627610226 ","浓香铁观音","","250g","福建安溪","盒","30 ","99,000","850¥","1,699,000","浓香铁观音，  味足香浓，  水路甘甜，  花果香十足。","Rp637,125","Rp849,500","","","","","","","","","","",""
"6 ","C1032","6976627610011 ","浓香铁观音","","500g","福建安溪","盒","60 ","39,000","700¥","1,399,000",",  具有独特的“醇、  厚、  甘、  润”的口感特点。  其香气浓
郁，  带有花蜜香，   口感醇厚味甜。","Rp524,625","Rp699,500","","","","","","","","","","",""
"7 ","C1033","6976627610295 ","铁观音","","500g","福建安溪","盒","60 ","29,000","300¥","600,000","既有绿茶的清香，  又有红茶的甘醇。  叶底明亮，  香高韵长，
茶香高韵长，  回甘强，  汤色金黄透亮。","Rp225,000","Rp300,000","","","","","","","","","","",""
"8 ","C2011","6976627610301 ","肉桂","","150g","福建武夷山","盒","18 ","99,000","600¥","1,200,000","采用中火，  桂皮味强烈，  后段熟果香持续，  清晰度高，  滋味
感丰富。  茶叶干茶条索紧洁乌润，  标准的桂皮香和浓郁的花
果香交替呈现，  啜茶品饮，  感受到的是烫稠水滑，  香气细柔
。","Rp450,000","Rp600,000","","","","","","","","","","",""
"9 ","C2012","6976627610196 ","肉桂","","250g","福建武夷山","盒","30 ","39,000","450¥","900,000","果香明显且馥郁悠长，  汤感饱满回甘快，   山场韵味持久。  采
用传统的炭焙工艺文火慢炖，  茶汤橙红透亮，  香气张扬，  桂
皮香、  果香明显且馥郁悠长，  汤感饱满回甘快，  香气落水，
滋味醇厚。","Rp337,500","Rp450,000","","","","","","","","","","",""
"10 ","C2021","6976627610028 ","水仙","","150g","福建武夷山","盒","18 ","99,000","600¥","1,200,000","干茶条索乌褐油润，  兰花香气明显，  同时这股兰花香溶于汤
水之中，  存于杯底，  而不是浮于表面。  汤感醇厚顺滑带有果
胶感冲泡后的汤色明亮澄黄，   口感醇厚爽滑，  余味甘甜持久
。","Rp450,000","Rp600,000","","","","","","","","","","",""
